FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
1045,AL,Dale,Southeast,40523.0,6,29,1,36.3,2,White & Not Hispanic,35,27,14.68587793091104,30.89911103156136,36.19712427659448,With some college or associate's degree
51620,VA,Franklin,Southeast,40247.0,2,12,1,30.1,1,White & Not Hispanic,13,11,16.28967210240225,31.63247413641943,33.1229177625811,With some college or associate's degree
6075,CA,San Francisco,West,101873.0,358,112,1,25.1,142,White & Not Hispanic,958,1917,11.44772637548003,11.58324659943294,18.20421347306464,With some college or associate's degree
45057,SC,Lancaster,Southeast,53421.0,24,47,2,34.1,8,White & Not Hispanic,47,46,12.72042508466659,28.53701973607381,30.21575382459418,With some college or associate's degree
8069,CO,Larimer,Southwest,66561.0,36,86,9,22.6,55,White & Not Hispanic,271,298,3.814322008353787,18.61861085992335,29.87469319209404,With some college or associate's degree
45021,SC,Cherokee,Southeast,38273.0,9,42,1,34.1,3,White & Not Hispanic,38,35,18.5251102685135,36.2377157006887,30.85454873739328,With a high school diploma only
26163,MI,Wayne,Upper Midwest,43570.0,405,859,33,32.3,110,White & Not Hispanic,1253,1110,12.84350478260943,29.22092499227795,32.70074384894144,With some college or associate's degree
45043,SC,Georgetown,Southeast,47842.0,15,46,1,34.1,2,White & Not Hispanic,42,90,10.82929977412068,27.13993761428418,32.31364956437561,With some college or associate's degree
37129,NC,New Hanover,Southeast,51373.0,49,88,5,32.1,28,White & Not Hispanic,227,270,6.77031313797544,19.9020069725808,31.09645403436038,With some college or associate's degree
21227,KY,Warren,Ohio Valley,47253.0,19,49,4,34.3,13,White & Not Hispanic,97,96,11.70398243963625,26.78958921291941,29.2793979303857,With some college or associate's degree
34031,NJ,Passaic,Northeast,61517.0,243,111,2,27.3,46,White & Not Hispanic,347,399,15.50935277201739,33.71845627642671,21.23951534955817,With a high school diploma only
18041,IN,Fayette,Ohio Valley,44673.0,3,11,1,33.6,2,White & Not Hispanic,23,14,16.53762774852896,44.4781666150511,24.20563641994426,With a high school diploma only
55081,WI,Monroe,Upper Midwest,56400.0,5,23,2,32.0,2,White & Not Hispanic,24,34,9.247518411783542,35.59398014729427,33.82965097662504,With a high school diploma only
37047,NC,Columbus,Southeast,35290.0,16,36,1,32.1,1,White & Not Hispanic,46,29,16.01800976800977,37.63227513227513,33.45797720797721,With a high school diploma only
12009,FL,Brevard,Southeast,51214.0,80,299,12,28.4,55,White & Not Hispanic,375,507,7.815050723770516,26.7048854227583,34.56735209047865,With some college or associate's degree
19049,IA,Dallas,Upper Midwest,82123.0,13,35,2,36.4,11,White & Not Hispanic,48,57,4.458039003616453,18.35603474498935,26.72119511947815,With some college or associate's degree
18169,IN,Wabash,Ohio Valley,51561.0,7,16,1,33.6,3,White & Not Hispanic,27,18,10.28616703952274,42.93903803131991,27.86633109619687,With a high school diploma only
40027,OK,Cleveland,South,61275.0,52,83,7,36.5,28,White & Not Hispanic,223,172,7.767323444764224,24.39118884215187,33.57538189063538,With some college or associate's degree
55025,WI,Dane,Upper Midwest,70815.0,80,169,5,32.0,114,White & Not Hispanic,437,469,3.813333556498428,17.27046772614295,26.49276526658466,With some college or associate's degree
1043,AL,Cullman,Southeast,41543.0,15,53,2,36.3,4,White & Not Hispanic,63,43,17.73638179188761,32.27566971971627,34.5723435025136,With some college or associate's degree
20161,KS,Riley,South,49901.0,8,23,1,32.4,3,White & Not Hispanic,49,44,3.817220021797496,16.41989420239772,32.54738297137084,With some college or associate's degree
29215,MO,Texas,Ohio Valley,33879.0,5,10,1,32.5,1,White & Not Hispanic,10,22,15.6315499172642,39.21125206839493,30.38610038610038,With a high school diploma only
13223,GA,Paulding,Southeast,65480.0,12,51,4,31.6,12,White & Not Hispanic,64,64,9.525360026792692,30.59018345551297,35.9896550440963,With some college or associate's degree
36077,NY,Otsego,Northeast,50034.0,18,47,2,25.7,5,White & Not Hispanic,35,81,7.35441014883628,30.68874238337828,28.58605533912696,With a high school diploma only
51013,VA,Arlington,Southeast,108635.0,46,64,1,30.1,49,White & Not Hispanic,227,268,5.054989116737312,7.897811891396494,11.21147897811891,With some college or associate's degree
48005,TX,Angelina,South,43658.0,11,31,2,33.0,7,White & Not Hispanic,71,37,16.99080776543232,30.75822853255656,34.06708412551674,With some college or associate's degree
21013,KY,Bell,Ohio Valley,26014.0,6,10,1,34.3,3,White & Not Hispanic,24,10,26.04857693130751,42.06077466295742,22.39995720094158,With a high school diploma only
17001,IL,Adams,Ohio Valley,51130.0,11,28,2,31.1,9,White & Not Hispanic,34,54,7.808207230386813,34.39884872007326,32.58471065370023,With a high school diploma only
55113,WI,Sawyer,Upper Midwest,44180.0,5,11,1,32.0,1,White & Not Hispanic,8,47,7.854375201808201,32.95124313852115,34.33161123668066,With some college or associate's degree
28049,MS,Hinds,South,42903.0,27,153,4,37.3,21,Black,234,106,11.84660318790847,23.78554308391508,34.15541381252374,With some college or associate's degree
55027,WI,Dodge,Upper Midwest,56949.0,12,39,1,32.0,6,White & Not Hispanic,36,50,8.795002981888949,40.19272419096644,33.01735773250887,With a high school diploma only
6071,CA,San Bernardino,West,56194.0,309,481,18,25.1,125,Hispanic,1526,1101,19.29688265104021,26.4046487628976,32.94045508295829,With some college or associate's degree
47115,TN,Marion,Ohio Valley,42348.0,4,27,1,32.8,2,White & Not Hispanic,21,18,19.04599160238258,40.20603456693682,28.26872375744556,With a high school diploma only
29099,MO,Jefferson,Ohio Valley,61508.0,23,86,4,32.5,16,White & Not Hispanic,131,101,9.81839183725855,32.2492459731759,36.83180388885324,With some college or associate's degree
26043,MI,Dickinson,Upper Midwest,46094.0,6,13,1,32.3,4,White & Not Hispanic,20,21,5.268517525994212,33.21899453317612,37.09936756351163,With some college or associate's degree
55055,WI,Jefferson,Upper Midwest,60744.0,13,36,2,32.0,10,White & Not Hispanic,47,66,7.959719048827959,32.51925192519252,32.83574511297284,With some college or associate's degree
6115,CA,Yuba,West,46054.0,10,23,1,25.1,4,White & Not Hispanic,29,27,17.82518082628417,23.80572923051776,40.35797474561726,With some college or associate's degree
47117,TN,Marshall,Ohio Valley,50014.0,4,22,1,32.8,3,White & Not Hispanic,22,10,12.72368364588251,40.00343303437326,31.0389220272068,With a high school diploma only
30049,MT,Lewis and Clark,Northern Rockies & Plains,60370.0,13,23,2,25.3,15,White & Not Hispanic,41,55,4.356005788712011,23.3078354351871,29.8470126111226,With some college or associate's degree
28127,MS,Simpson,South,39568.0,3,24,1,37.3,2,White & Not Hispanic,21,9,21.6711324984962,28.30425985672883,32.58599004757478,With some college or associate's degree
21113,KY,Jessamine,Ohio Valley,55047.0,5,22,2,34.3,5,White & Not Hispanic,35,30,11.79827659273909,30.88289306399209,28.11696567311767,With a high school diploma only
48013,TX,Atascosa,South,53622.0,6,35,1,33.0,2,Hispanic,20,26,21.03706010588602,39.67299906571161,23.9769542198692,With a high school diploma only
28045,MS,Hancock,South,45369.0,3,30,1,37.3,5,White & Not Hispanic,29,40,9.58546214584301,28.16418950301905,36.26045053413841,With some college or associate's degree
22049,LA,Jackson,South,41192.0,1,13,1,36.2,1,White & Not Hispanic,9,4,17.12712090254952,42.72896864173403,26.65008439193391,With a high school diploma only
28033,MS,DeSoto,South,64138.0,20,75,5,37.3,17,White & Not Hispanic,140,116,8.989327471939692,30.07613682899719,36.0860153945158,With some college or associate's degree
18063,IN,Hendricks,Ohio Valley,78464.0,12,44,9,33.6,19,White & Not Hispanic,127,116,5.716800962980929,26.89250006737273,28.51483547578624,With some college or associate's degree
56033,WY,Sheridan,Northern Rockies & Plains,53027.0,8,13,1,28.8,7,White & Not Hispanic,23,32,4.524970963995354,27.76306620209059,37.06387921022068,With some college or associate's degree
5115,AR,Pope,South,42916.0,8,26,1,35.0,6,White & Not Hispanic,53,37,15.14663543649051,33.84326355340848,26.42121700092714,With a high school diploma only
37151,NC,Randolph,Southeast,45939.0,22,66,2,32.1,13,White & Not Hispanic,74,85,17.04361955006369,34.3971595639048,32.44034783306419,With a high school diploma only
48053,TX,Burnet,South,55919.0,2,36,1,33.0,6,White & Not Hispanic,32,46,11.59304120650754,30.3972212326327,31.25816411352571,With some college or associate's degree
21173,KY,Montgomery,Ohio Valley,44890.0,4,25,1,34.3,2,White & Not Hispanic,19,16,15.23764656616415,40.98618090452261,28.1354690117253,With a high school diploma only
41009,OR,Columbia,Northwest,63055.0,8,21,2,29.4,5,White & Not Hispanic,27,31,9.24040511727079,33.12633262260128,39.60287846481877,With some college or associate's degree
22121,LA,West Baton Rouge,South,54454.0,6,22,1,36.2,3,White & Not Hispanic,21,13,13.16169126623016,36.40550438353124,27.7549661524803,With a high school diploma only
30031,MT,Gallatin,Northern Rockies & Plains,60439.0,18,37,2,25.3,21,White & Not Hispanic,97,141,2.991213834014215,17.77939448206391,27.66103307403884,With some college or associate's degree
18085,IN,Kosciusko,Ohio Valley,56010.0,12,28,2,33.6,9,White & Not Hispanic,60,69,13.23787755718846,34.13173652694611,28.2967188651089,With a high school diploma only
8087,CO,Morgan,Southwest,49129.0,7,13,1,22.6,3,White & Not Hispanic,12,21,20.63911192541898,31.04488872123727,31.05566632537587,With some college or associate's degree
42097,PA,Northumberland,Northeast,46783.0,21,39,1,31.6,5,White & Not Hispanic,61,64,10.86399400524541,49.37579617834395,21.8973398276508,With a high school diploma only
24003,MD,Anne Arundel,Northeast,95297.0,94,200,10,31.3,72,White & Not Hispanic,492,389,6.793321674362426,22.70681043268203,27.49889910796291,With some college or associate's degree
32007,NV,Elko,West,70242.0,11,21,1,26.7,3,White & Not Hispanic,40,29,13.19958695972857,33.04027142646408,36.91104882726066,With some college or associate's degree
12017,FL,Citrus,Southeast,40009.0,18,68,3,28.4,7,White & Not Hispanic,58,93,10.53904367310701,37.99856255020505,32.56669344269226,With a high school diploma only
45007,SC,Anderson,Southeast,45821.0,33,138,4,34.1,18,White & Not Hispanic,134,161,14.35571793087451,30.17933774066342,31.35438413361169,With some college or associate's degree
31131,NE,Otoe,Northern Rockies & Plains,55030.0,4,10,1,32.8,2,White & Not Hispanic,8,11,7.655546365223785,34.06855987501149,32.87381674478448,With a high school diploma only
8005,CO,Arapahoe,Southwest,70866.0,95,158,15,22.6,87,White & Not Hispanic,506,471,7.741655205634551,20.40318823028909,28.45187154340148,With some college or associate's degree
42089,PA,Monroe,Northeast,59574.0,17,55,3,31.6,10,White & Not Hispanic,112,147,10.43372737378966,34.71855667478509,29.03198431758586,With a high school diploma only
6023,CA,Humboldt,West,43164.0,48,38,2,25.1,17,White & Not Hispanic,97,142,9.39110824742268,22.98969072164948,36.72358247422681,With some college or associate's degree
20091,KS,Johnson,South,80872.0,83,111,15,32.4,102,White & Not Hispanic,413,446,3.877862520005532,13.9554642271443,26.04893205034478,With some college or associate's degree
37153,NC,Richmond,Southeast,35367.0,11,44,1,32.1,2,White & Not Hispanic,26,22,17.10762991791216,30.41501782385453,34.67639075121824,With some college or associate's degree
30013,MT,Cascade,Northern Rockies & Plains,45569.0,10,29,2,25.3,12,White & Not Hispanic,69,66,7.577361198313751,31.45214817472419,33.64965467754956,With some college or associate's degree
27059,MN,Isanti,Upper Midwest,68303.0,6,13,1,28.4,4,White & Not Hispanic,17,20,7.66972344050165,35.64101634709485,38.57334444887455,With some college or associate's degree
12033,FL,Escambia,Southeast,45004.0,46,174,6,28.4,22,White & Not Hispanic,188,203,9.637412597204978,26.84397725893632,36.31568629281453,With some college or associate's degree
37069,NC,Franklin,Southeast,49484.0,8,36,1,32.1,4,White & Not Hispanic,28,20,13.45477519216595,29.77150679161841,35.61756344108666,With some college or associate's degree
1071,AL,Jackson,Southeast,41407.0,11,42,1,36.3,1,White & Not Hispanic,32,26,16.53819201121233,39.08414640720177,28.15751172443534,With a high school diploma only
36083,NY,Rensselaer,Northeast,63174.0,38,70,1,25.7,5,White & Not Hispanic,109,110,7.526785714285714,27.45267857142857,31.11964285714286,With some college or associate's degree
5027,AR,Columbia,South,35322.0,3,18,1,35.0,2,White & Not Hispanic,21,7,13.19411160561452,41.70489558370421,24.61485792536802,With a high school diploma only
51145,VA,Powhatan,Southeast,78047.0,3,15,1,30.1,3,White & Not Hispanic,11,16,10.39644753708112,30.16846731367881,28.85460538362937,With a high school diploma only
12001,FL,Alachua,Southeast,45294.0,43,122,2,28.4,37,White & Not Hispanic,197,211,7.211608663908494,20.23850085178876,28.46617181796057,With some college or associate's degree
20011,KS,Bourbon,South,44424.0,3,6,1,32.4,1,White & Not Hispanic,11,10,9.369817578772803,32.29684908789386,37.36525704809287,With some college or associate's degree
47071,TN,Hardin,Ohio Valley,37039.0,7,20,1,32.8,3,White & Not Hispanic,12,25,17.20071086218967,41.9516398298239,24.34702999623028,With a high school diploma only
35005,NM,Chaves,Southwest,40573.0,6,30,2,28.4,5,Hispanic,44,41,20.63403916266267,26.59053045850738,35.09911389043147,With some college or associate's degree
51141,VA,Patrick,Southeast,38539.0,2,15,1,30.1,1,White & Not Hispanic,7,10,17.66358595194085,36.61367837338263,30.81700554528651,With a high school diploma only
48167,TX,Galveston,South,64155.0,52,175,7,33.0,27,White & Not Hispanic,244,238,10.41570306546321,24.59418623603053,32.87256676930397,With some college or associate's degree
42133,PA,York,Northeast,62305.0,64,132,8,31.6,48,White & Not Hispanic,306,236,9.676036832459644,39.17558746109979,25.9499966417087,With a high school diploma only
37071,NC,Gaston,Southeast,48874.0,32,106,6,32.1,17,White & Not Hispanic,168,126,14.43126362786834,30.40052954002699,33.11636901671685,With some college or associate's degree
12103,FL,Pinellas,Southeast,49974.0,199,444,13,28.4,120,White & Not Hispanic,655,906,8.378900782489303,27.2228961435408,31.90823413359639,With some college or associate's degree
29021,MO,Buchanan,Ohio Valley,47517.0,10,39,3,32.5,8,White & Not Hispanic,75,57,11.18677531079024,37.27475028025499,29.65850720297154,With a high school diploma only
37051,NC,Cumberland,Southeast,45286.0,50,172,9,32.1,27,White & Not Hispanic,277,213,8.465312922844307,26.39222616542512,39.5332039620361,With some college or associate's degree
40065,OK,Jackson,South,44211.0,1,13,1,36.5,3,White & Not Hispanic,18,18,14.31519699812383,28.98061288305191,34.45903689806129,With some college or associate's degree
27091,MN,Martin,Upper Midwest,48326.0,3,12,1,28.4,4,White & Not Hispanic,15,13,6.409617983922601,35.5694671693818,36.3235398733727,With some college or associate's degree
18179,IN,Wells,Ohio Valley,56054.0,2,9,1,33.6,1,White & Not Hispanic,12,14,7.754179371254337,40.32698980128273,33.20365892124908,With a high school diploma only
18071,IN,Jackson,Ohio Valley,51871.0,8,26,1,33.6,3,White & Not Hispanic,34,27,11.19765661407363,40.52659609879502,30.40410092537115,With a high school diploma only
54107,WV,Wood,Ohio Valley,46737.0,11,44,3,38.1,10,White & Not Hispanic,81,59,9.051373557971615,33.88496970702963,35.10000829944394,With some college or associate's degree
13275,GA,Thomas,Southeast,40199.0,7,45,1,31.6,6,White & Not Hispanic,39,32,13.92425833552113,31.00223155683907,30.95300603833027,With a high school diploma only
28029,MS,Copiah,South,34450.0,5,27,1,37.3,1,White & Not Hispanic,17,10,15.88497453310696,34.69333616298812,32.6188455008489,With a high school diploma only
37159,NC,Rowan,Southeast,47971.0,22,79,1,32.1,11,White & Not Hispanic,83,95,14.05037566202734,32.60561645522848,33.49960996838691,With some college or associate's degree
51057,VA,Essex,Southeast,50033.0,2,10,1,30.1,1,White & Not Hispanic,11,14,17.21019108280255,35.82165605095541,30.75159235668789,With a high school diploma only
51153,VA,Prince William,Southeast,97549.0,64,122,11,30.1,54,White & Not Hispanic,295,259,10.82307800290113,19.89812629932418,27.36117702895112,With some college or associate's degree
55023,WI,Crawford,Upper Midwest,46698.0,5,9,1,32.0,1,White & Not Hispanic,9,15,8.19002213519496,39.23888983483739,33.62846926613315,With a high school diploma only
55097,WI,Portage,Upper Midwest,55064.0,8,27,1,32.0,9,White & Not Hispanic,43,70,5.91754738405101,31.93073630884793,28.72084898244388,With a high school diploma only
31141,NE,Platte,Northern Rockies & Plains,59288.0,5,21,1,32.8,5,White & Not Hispanic,23,19,9.972160102231756,29.64264524667975,37.00424444343024,With some college or associate's degree
36043,NY,Herkimer,Northeast,49633.0,10,27,1,25.7,5,White & Not Hispanic,39,62,9.352419281075642,36.76026708131345,32.76319399981707,With a high school diploma only
47011,TN,Bradley,Ohio Valley,45326.0,14,80,2,32.8,10,White & Not Hispanic,75,59,12.92619265616245,32.26560258004564,31.31858370799569,With a high school diploma only
17075,IL,Iroquois,Ohio Valley,47589.0,8,13,1,31.1,1,White & Not Hispanic,17,17,11.91600780367594,39.40342951021665,33.27857069514324,With a high school diploma only
23019,ME,Penobscot,Northeast,47076.0,30,113,4,29.1,15,White & Not Hispanic,85,118,7.127623233097284,33.42227474587069,30.87128731153807,With a high school diploma only
20133,KS,Neosho,South,42441.0,4,6,1,32.4,2,White & Not Hispanic,6,11,8.026010218300046,32.28982814677195,39.684161634928,With some college or associate's degree
42083,PA,McKean,Northeast,43082.0,12,25,1,31.6,2,White & Not Hispanic,28,31,8.221241058287983,46.82205565253106,26.00198514563439,With a high school diploma only
12105,FL,Polk,Southeast,46289.0,87,317,11,28.4,38,White & Not Hispanic,308,298,14.56381750928807,33.74108406366866,31.10739089830225,With a high school diploma only
48141,TX,El Paso,South,42048.0,116,241,16,33.0,70,Hispanic,601,536,21.04581417602166,23.15739725068266,31.76885196163092,With some college or associate's degree
18173,IN,Warrick,Ohio Valley,65809.0,8,17,2,33.6,7,White & Not Hispanic,30,29,5.867376461057748,28.5383636153223,32.61659530146974,With some college or associate's degree
53005,WA,Benton,Northwest,63474.0,29,66,5,27.7,24,White & Not Hispanic,114,132,8.978950193627545,23.60568996587554,35.82991449714352,With some college or associate's degree
6101,CA,Sutter,West,51283.0,21,40,2,25.1,8,White & Not Hispanic,59,54,20.17057163691703,23.03034146032148,36.7680162328398,With some college or associate's degree
37087,NC,Haywood,Southeast,45290.0,10,35,1,32.1,2,White & Not Hispanic,41,60,11.49092313634608,26.29286296725463,34.38479035234539,With some college or associate's degree
18141,IN,St. Joseph,Ohio Valley,48960.0,41,99,9,33.6,34,White & Not Hispanic,206,193,10.19133459835547,29.96238818107888,28.86283545676335,With a high school diploma only
26107,MI,Mecosta,Upper Midwest,41759.0,8,25,2,32.3,2,White & Not Hispanic,19,30,8.525496471957519,36.51342111006038,32.03971775660144,With a high school diploma only
47105,TN,Loudon,Ohio Valley,56774.0,8,33,1,32.8,5,White & Not Hispanic,42,26,13.01702541029705,30.56393476149087,29.16048877754486,With a high school diploma only
5059,AR,Hot Spring,South,46313.0,6,15,1,35.0,2,White & Not Hispanic,18,10,12.53780816241972,38.44623990055936,33.68137559560804,With a high school diploma only
27053,MN,Hennepin,Upper Midwest,71184.0,232,327,19,28.4,207,White & Not Hispanic,991,966,6.357411731562716,15.87108359090581,26.74203548487947,With some college or associate's degree
51171,VA,Shenandoah,Southeast,53810.0,9,32,1,30.1,2,White & Not Hispanic,20,31,11.90957839642937,41.03329801239444,27.40262659345599,With a high school diploma only
22109,LA,Terrebonne,South,49206.0,18,65,3,36.2,11,White & Not Hispanic,84,82,19.41642699936539,38.83690471368196,25.96103212216956,With a high school diploma only
36009,NY,Cattaraugus,Northeast,46224.0,19,37,2,25.7,6,White & Not Hispanic,41,72,10.32527264106212,39.15030820293978,30.61735419630157,With a high school diploma only
5093,AR,Mississippi,South,35846.0,10,22,2,35.0,5,White & Not Hispanic,29,29,17.94719667754375,38.76816968258677,27.69578760011866,With a high school diploma only
27123,MN,Ramsey,Upper Midwest,60287.0,102,160,6,28.4,59,White & Not Hispanic,386,361,9.017647798260908,21.05684569517241,26.92587268881614,With some college or associate's degree
18043,IN,Floyd,Ohio Valley,58703.0,10,25,2,33.6,4,White & Not Hispanic,72,48,9.040871731934992,30.29677563315854,30.5273531927554,With some college or associate's degree
19059,IA,Dickinson,Upper Midwest,58019.0,2,13,1,36.4,4,White & Not Hispanic,20,29,4.087829946274235,26.32562485400608,37.36665888032391,With some college or associate's degree
28093,MS,Marshall,South,37561.0,2,33,1,37.3,1,White & Not Hispanic,14,6,18.89474329126332,37.18906996691582,30.03716864763305,With a high school diploma only
40099,OK,Murray,South,48008.0,2,10,1,36.5,2,White & Not Hispanic,11,12,15.07641470466749,39.79760429574556,26.60057827344073,With a high school diploma only
